swedish,english,example
behöva,to need,"Jag behöver hjälp."
tycka om,to like,"Jag tycker om att läsa."
gilla,to like,"Hon gillar musik."
hata,to hate,"Jag hatar att vänta."
försöka,to try,"Försök igen!"
lyckas,to succeed,"Jag lyckades till slut."
glömma,to forget,"Glöm inte nyckeln."
komma ihåg,to remember,"Kommer du ihåg honom?"
hjälpa,to help,"Kan du hjälpa mig?"
använda,to use,"Hur använder man det här?"
betala,to pay,"Jag betalar med kort."
hämta,to fetch / pick up,"Jag hämtar barnen kl. 17."
lämna,to leave (something),"Lämna nycklarna i lådan."
träffa,to meet,"Vi träffas imorgon."
berätta,to tell,"Berätta vad som hände."
fråga,to ask,"Får jag fråga en sak?"
svara,to answer,"Hon svarade inte."
förstå,to understand,"Jag förstår inte riktigt."
förklara,to explain,"Kan du förklara igen?"
bestämma,to decide,"Vi måste bestämma oss."
ändra,to change,"Jag ändrade mig."
hända,to happen,"Vad hände?"
verka,to seem,"Det verkar bra."
sluta,to stop / quit,"Sluta med det där!"
börja,to begin,"Filmen börjar nu."
fortsätta,to continue,"Fortsätt rakt fram."
vänta,to wait,"Vänta på mig!"
skynda sig,to hurry,"Skynda dig, vi är sena!"
orka,to have energy for,"Jag orkar inte mer idag."
hinna,to have time to,"Jag hinner inte äta."
