swedish,english,example
snäll,kind,"Hon är väldigt snäll."
vänlig,friendly,"En vänlig granne."
artig,polite,"Han är alltid artig."
otrevlig,unpleasant / rude,"En otrevlig man."
ärlig,honest,"Jag försöker vara ärlig."
generös,generous,"Han är generös mot vänner."
självisk,selfish,"Ett själviskt beteende."
smart,smart,"Hon är väldigt smart."
klok,wise,"Ett klokt beslut."
dum,stupid,"Det var dumt gjort."
rolig,funny,"Han är så rolig."
tråkig,boring,"En tråkig föreläsning."
seriös,serious,"Hon är en seriös person."
lat,lazy,"Jag känner mig lat idag."
flitig,hardworking,"En flitig student."
modig,brave,"Det var modigt av dig."
blyg,shy,"Hon är lite blyg."
social,sociable,"Han är väldigt social."
envis,stubborn,"Mitt barn är envist."
tålmodig,patient,"Du måste vara tålmodig."
otålig,impatient,"Jag blir lätt otålig."
pålitlig,reliable,"En pålitlig kollega."
ansvarsfull,responsible,"Hon är ansvarsfull."
glömsk,forgetful,"Jag är så glömsk."
positiv,positive,"Försök vara positiv."
negativ,negative,"En negativ inställning."
optimistisk,optimistic,"Han är optimistisk."
pessimistisk,pessimistic,"Hon är pessimistisk."
nyfiken,curious,"Ett nyfiket barn."
försiktig,careful,"Var försiktig!"
