swedish,english,example
röd,red,"En röd jacka."
blå,blue,"Himlen är blå."
grön,green,"Gröna äpplen."
gul,yellow,"En gul blomma."
svart,black,"Svart kaffe."
vit,white,"En vit skjorta."
grå,grey,"Det är grått ute idag."
brun,brown,"Bruna skor."
rosa,pink,"En rosa tröja."
lila,purple,"Lila blommor."
orange,orange,"En orange tröja."
ljus,light (colour),"Ljusblå väggar."
mörk,dark,"Ett mörkt rum."
rund,round,"Ett runt bord."
fyrkantig,square,"En fyrkantig låda."
platt,flat,"En platt skärm."
spetsig,pointed / sharp,"En spetsig penna."
rak,straight,"En rak linje."
böjd,bent / curved,"En böjd gren."
slät,smooth,"En slät yta."
sträv,rough,"Sträv hud."
hal,slippery,"Golvet är halt."
klibbig,sticky,"Klibbiga fingrar."
genomskinlig,transparent,"Genomskinligt glas."
randig,striped,"En randig tröja."
rutig,checkered,"En rutig skjorta."
prickig,dotted / spotted,"En prickig klänning."
glänsande,shiny,"Glänsande hår."
matt,matte / dull,"En matt yta."
av trä,made of wood,"Bordet är av trä."
av metall,made of metal,"En låda av metall."
av plast,made of plastic,"En flaska av plast."
av glas,made of glass,"En vas av glas."
av tyg,made of fabric,"En väska av tyg."
av läder,made of leather,"Skor av läder."
ljummen,lukewarm,"Vattnet är ljummet."
iskall,ice-cold,"En iskall läsk."
brännhet,burning hot,"Spisen är brännhet."
