swedish,english,example
en vardag,an everyday life / weekday,"Min vardag är ganska stressig just nu."
en helg,a weekend,"På helgen försöker jag vila."
stiga upp,to get up,"Jag stiger upp klockan sex varje vardag."
lägga sig,to go to bed,"Barnen lägger sig tidigt."
ett ärende,an errand,"Jag måste göra några ärenden efter jobbet."
pendla,to commute,"Hon pendlar till Uppsala varje dag."
handla,to shop,"Jag handlar mat på vägen hem."
städa,to clean,"Vi städar lägenheten på lördagar."
tvätta,to wash,"Jag måste tvätta kläder ikväll."
laga mat,to cook,"Min partner lagar oftast maten hemma."
diska,to do the dishes,"Kan du diska efter middagen?"
vila,to rest,"Efter jobbet vill jag bara vila."
sova ut,to sleep in,"På söndagar vill jag gärna sova ut."
koppla av,to relax / unwind,"På kvällen vill jag koppla av hemma."
egen tid,alone time / personal time,"Det är viktigt att ha egen tid ibland."
efteråt,afterwards,"Först tränar jag och efteråt duschar jag."
en tvättid,a laundry slot,"Jag bokade tvättid till klockan sju."
bruka,to usually do / tend to,"Vi brukar äta sent på fredagar."
plötsligt,suddenly,"Plötsligt började det regna."
planera,to plan,"Jag försöker planera veckan i förväg."
trött efter jobbet,tired after work,"Jag är alltid trött efter jobbet."
ha fullt upp,to be very busy,"Den här veckan har jag fullt upp."
en rutin,a routine,"Det är skönt att ha en tydlig rutin."
en berättelse,a story,"Hon skrev en berättelse om sin helg."
först ... sedan,first ... then,"Först går jag ut med hunden och sedan dricker jag kaffe."
i vanliga fall,usually / normally,"I vanliga fall jobbar jag hemifrån på fredagar."
