swedish,english,example
eftersom,because / since,"Jag stannade hemma eftersom jag var sjuk."
därför,therefore / that's why,"Bussen var sen. Därför kom jag för sent."
dessutom,in addition,"Kursen är billig och dessutom väldigt bra."
till exempel,for example,"Jag gillar svensk musik, till exempel Veronica Maggio."
först,first,"Först gör jag läxan och sedan lagar jag mat."
sedan,then / after that,"Vi åt middag och sedan gick vi hem."
till slut,in the end / finally,"Till slut hittade jag mina nycklar."
samtidigt,at the same time / meanwhile,"Hon studerar och arbetar samtidigt."
medan,while,"Jag diskade medan han lagade maten."
innan,before,"Ring mig innan du går hemifrån."
efter att,after,"Vi tog en promenad efter att vi hade ätit."
när,when,"Jag blev glad när du ringde."
om,if,"Om det regnar stannar vi hemma."
även om,even if / although,"Jag går ut även om det är kallt."
trots att,although / even though,"Hon tränade trots att hon var trött."
däremot,on the other hand / however,"Kaffet var gott. Kakan var däremot torr."
istället,instead,"Vi åkte inte buss utan gick istället."
alltså,so / therefore,"Du är sjuk, alltså ska du vila."
nämligen,because / namely,"Jag måste gå nu. Jag börjar jobbet tidigt nämligen."
faktiskt,actually,"Det var faktiskt svårare än jag trodde."
förmodligen,probably,"Han kommer förmodligen lite senare."
oftast,most often,"Jag cyklar oftast till jobbet."
ibland,sometimes,"Ibland läser jag på kafé."
sällan,rarely,"Vi äter sällan ute."
alltid,always,"Hon kommer alltid i tid."
aldrig,never,"Jag dricker aldrig kaffe på kvällen."
både ... och,both ... and,"Hon gillar både film och teater."
varken ... eller,neither ... nor,"Jag har varken tid eller pengar just nu."
antingen ... eller,either ... or,"Vi kan antingen ses idag eller imorgon."
åtminstone,at least,"Boken var lång men åtminstone intressant."
särskilt,especially,"Jag gillar särskilt den sista delen av filmen."
