swedish,english,example
en arbetsplats,a workplace,"Min arbetsplats ligger nära stationen."
ett möte,a meeting,"Jag har ett möte klockan tio."
en erfarenhet,an experience,"Det var en nyttig erfarenhet."
ett beslut,a decision,"Det var svårt att fatta ett beslut."
en möjlighet,an opportunity,"Det här jobbet är en bra möjlighet."
ett problem,a problem,"Vi måste lösa det här problemet."
en lösning,a solution,"Hon hittade en enkel lösning."
ett exempel,an example,"Kan du ge ett exempel?"
en skillnad,a difference,"Det är stor skillnad mellan de två kurserna."
en fördel,an advantage,"En stor fördel är att man kan jobba hemifrån."
en nackdel,a disadvantage,"Nackdelen är att resan tar lång tid."
en regel,a rule,"Det är en viktig regel."
ett ansvar,a responsibility,"Det är ett stort ansvar."
ett resultat,a result,"Resultatet blev bättre än väntat."
en förändring,a change,"Efter flytten blev det en stor förändring."
en anledning,a reason,"Det finns ingen anledning att stressa."
en situation,a situation,"Det var en pinsam situation."
ett samhälle,a society,"Ett demokratiskt samhälle behöver fria medier."
en utbildning,an education / training,"Hon har en utbildning inom vård."
en ansökan,an application,"Jag skickade in min ansökan igår."
en intervju,an interview,"Jag blev kallad till en intervju."
en hälsa,health,"Motion är bra för hälsan."
en framtid,future,"Han oroar sig för framtiden."
en vana,a habit,"Det är en bra vana att läsa varje dag."
en relation,a relationship,"De har en nära relation."
en kultur,a culture,"Sverige har en stark föreningskultur."
