swedish,english,example
glad,happy,"Jag är glad idag."
ledsen,sad,"Hon ser ledsen ut."
arg,angry,"Han blev arg."
trött,tired,"Jag är så trött."
rädd,afraid,"Barnet är rädd för hunden."
orolig,worried,"Jag är orolig för henne."
nöjd,satisfied,"Jag är nöjd med resultatet."
besviken,disappointed,"Vi blev besvikna."
stolt,proud,"Hon är stolt över sitt jobb."
nervös,nervous,"Jag är nervös inför provet."
lugn,calm,"Försök att vara lugn."
stressad,stressed,"Han är stressad på jobbet."
uttråkad,bored,"Barnen är uttråkade."
överraskad,surprised,"Jag blev överraskad."
tacksam,grateful,"Jag är tacksam för hjälpen."
jag tycker att,I think that (opinion),"Jag tycker att filmen var bra."
jag tror att,I believe/think that,"Jag tror att det regnar imorgon."
enligt mig,in my opinion,"Enligt mig är det fel."
jag håller med,I agree,"Jag håller med dig."
jag håller inte med,I disagree,"Jag håller inte med om det."
det beror på,it depends,"Det beror på vädret."
å ena sidan,on the one hand,"Å ena sidan är det dyrt."
å andra sidan,on the other hand,"Å andra sidan är det bra."
jag föredrar,I prefer,"Jag föredrar te framför kaffe."
det verkar som om,it seems that,"Det verkar som om hon sover."
absolut,absolutely,"Absolut, det gör vi!"
kanske,maybe,"Kanske kommer han senare."
verkligen,really,"Det var verkligen kul."
tyvärr,unfortunately,"Tyvärr kan jag inte komma."
