swedish,english,example
välja,to choose,"Du måste välja en kurs före fredag."
jämföra,to compare,"Det är bra att jämföra priser."
beskriva,to describe,"Kan du beskriva personen du såg?"
diskutera,to discuss,"Vi diskuterade problemet länge."
påverka,to affect / influence,"Vädret påverkar mitt humör."
förbättra,to improve,"Jag vill förbättra min svenska."
utveckla,to develop,"Företaget vill utveckla en ny app."
förändra,to change,"Resan förändrade mitt sätt att tänka."
minska,to decrease / reduce,"Kommunen vill minska biltrafiken."
öka,to increase,"Priserna har ökat mycket i år."
föreslå,to suggest,"Jag föreslår att vi börjar tidigare."
undvika,to avoid,"Försök undvika onödiga misstag."
tillåta,to allow,"Skolan tillåter inte mobiltelefoner på lektionen."
förbjuda,to forbid / ban,"Det är förbjudet att röka här."
kräva,to require,"Jobbet kräver god svenska."
gälla,to apply / be valid,"Erbjudandet gäller bara idag."
erbjuda,to offer,"Hotellet erbjuder frukost."
undersöka,to investigate / examine,"Läkaren ska undersöka mitt knä."
anmäla,to report / register,"Du måste anmäla dig i förväg."
klaga,to complain,"Han klagade på servicen."
ansöka,to apply,"Jag tänker ansöka om jobbet."
flytta,to move,"Vi ska flytta till en större lägenhet."
hyra,to rent,"Vi hyr en lägenhet i centrum."
spara,to save,"Jag sparar pengar till en resa."
låna,to borrow / lend,"Kan jag låna din penna?"
slösa,to waste,"Man ska inte slösa tid."
upptäcka,to discover / notice,"Jag upptäckte ett fel i texten."
försvara,to defend,"Hon försvarade sin åsikt lugnt."
nämna,to mention,"Du glömde att nämna tiden."
