swedish,english,example
hålla med om,to agree with,"Jag håller med om det du säger."
inte hålla med om,to disagree with,"Jag håller inte med om den slutsatsen."
bero på,to depend on,"Det beror på vädret."
leda till,to lead to,"Stress kan leda till sömnproblem."
handla om,to be about,"Boken handlar om en familj i Stockholm."
ha ansvar för,to be responsible for,"Hon har ansvar för projektet."
vara van vid,to be used to,"Jag är van vid att gå upp tidigt."
se fram emot,to look forward to,"Jag ser fram emot semestern."
komma överens,to agree / get along,"Vi kom överens om en plan."
ta hand om,to take care of,"Han tar hand om barnen idag."
ta reda på,to find out,"Jag ska ta reda på när tåget går."
få tag på,to get hold of,"Det var svårt att få tag på biljetter."
komma på,to think of / realize,"Jag kom på en bättre idé."
ta med sig,to bring,"Glöm inte att ta med dig passet."
bli av med,to get rid of / lose,"Hon vill bli av med sin gamla cykel."
tycka synd om,to feel sorry for,"Jag tycker synd om katten."
bry sig om,to care about,"Hon bryr sig mycket om miljön."
lita på,to trust / rely on,"Jag litar på min läkare."
satsa på,to invest in / focus on,"Kommunen satsar på kollektivtrafik."
klara sig,to manage,"Han klarade sig utan hjälp."
hinna med,to have time for,"Jag hinner inte med allt idag."
tänka på,to think about,"Försök tänka på vad du vill säga."
lyssna på,to listen to,"Barnen lyssnar på musik."
vänta på,to wait for,"Vi väntar på bussen."
drömma om,to dream about,"Hon drömmer om att bo vid havet."
berätta om,to tell about,"Kan du berätta om din resa?"
be om hjälp,to ask for help,"Du måste be om hjälp om det blir för svårt."
delta i,to take part in,"Vill du delta i mötet?"
ha råd med,to be able to afford,"Vi har inte råd med en ny bil just nu."
vara intresserad av,to be interested in,"Jag är intresserad av svensk historia."
