swedish,english,example
stor,big,"Det är ett stort hus."
liten,small,"Vi har en liten lägenhet."
lång,long / tall,"Han är väldigt lång."
kort,short,"Det var en kort film."
hög,high / loud,"Berget är högt."
låg,low,"Priset är lågt nu."
bred,wide,"Gatan är bred."
smal,narrow / thin,"En smal väg."
tjock,thick / fat,"En tjock bok."
tunn,thin,"Isen är för tunn."
tung,heavy,"Väskan är tung."
lätt,light / easy,"Provet var lätt."
snabb,fast,"En snabb bil."
långsam,slow,"Tåget var långsamt."
ny,new,"Jag köpte en ny telefon."
gammal,old,"Ett gammalt hus."
ung,young,"De är ganska unga."
dyr,expensive,"Restaurangen var dyr."
billig,cheap,"En billig biljett."
bra,good,"Maten är bra här."
dålig,bad,"Vädret är dåligt idag."
fin,nice / fine,"Vilken fin tröja!"
ful,ugly,"En ful byggnad."
vacker,beautiful,"En vacker utsikt."
ren,clean,"Köket är rent."
smutsig,dirty,"Skorna är smutsiga."
varm,warm / hot,"Kaffet är fortfarande varmt."
kall,cold,"Det är kallt ute."
torr,dry,"Marken är torr."
våt,wet,"Mina kläder är våta."
hård,hard,"Sängen är för hård."
mjuk,soft,"En mjuk kudde."
full,full,"Bussen var full."
tom,empty,"Glaset är tomt."
viktig,important,"Det är en viktig fråga."
svår,difficult,"En svår uppgift."
enkel,simple,"En enkel lösning."
rätt,right / correct,"Det är rätt svar."
fel,wrong,"Jag tog fel buss."
stark,strong,"Han är stark."
svag,weak,"En svag signal."
